1. Principles of control theory,Define the term of internal environment and explain the importance of its control?,Define the terms homeostasis and homeostatic parameters. List at least 5 controlled functions and/or parameters in human.,Distinguish between guidance and control.,Describe the major forms of physiological controlling circuits.,Describe the parts of the neuronal reflex arch and explain their respective functions in control.,"Define negative and positive feedback control. Give examples for processes controlled by negative feedback, positive feedback.","Characterize endocrine, paracrine and autocrine humoral control based on the release site of the mediators and their path to the target cells.","Define ""behavioural control"" and explain its importance/necessity. Give examples!",How can the efficiency of control systems be expressed quantitatively?,Define the term servo-control mechanism.,,,,,,,
43. The microcirculation: capillary solute exchange and fluid dynamics,"Describe the main types of true capillaries: continuous, fenestrated, discontinuous and barrier endothelium.",Describe the diffusion across the capillary wall using FickÅfs law.,Contrast capillary permeability of small molecule solutes and proteins based on their respective reflection coefficients (s).,"Define oncotic (colloidosmotic) and hydrostatic pressures, and give the normal values of these (the Starling forces) in both the capillary blood and the interstitial fluid compartments.",Define the Starling equation and discuss how each component influences fluid movement across the capillary wall.,"Using the components of the Starling equation, explain why fluid does not usually accumulate in the interstitium of the lungs.",,,,,,,,,,,
44. The microcirculation:lymphatic circulation and edema formation,"Describe the lymphatics, and explain how the structural characteristics of terminal lymphatics allow the reabsorption of large compounds, such as proteins.",Contrast the structure of lymphatic capillaries and systemic capillaries.,What is the significance of the smooth muscle in the walls of lymphatic vessels?,Identify critical functions of the lymphatic system.,Diagram the relationship between interstitial pressure and lymph flow.,Explain why edema does not normally develop as interstitial pressure increases.,"Explain how edema develops in response to a) venous obstruction, b) lymphatic obstruction c) increased capillary permeability, and d) malnutrition.",,,,,,,,,,
45. The characteristics of the venous circulation.,"Characterize the veins, contrast them to arteries of similar size (number of vessels, wall distensibility).",Explain why the volume of the venous system increases significantly with the changes of hydrostatic pressures related to standing up (orthostasis).,Describe the factors promoting venous return.,Explain why the insufficiency of venous valves deteriorates the function of the muscle pump.,Describe the sympathethic innervation of the veins eliciting vasoconstriction.,Define venomotor tone.,,,,,,,,,,,
46. The regulation of local blood flow.,Define the autoregulation of blood flow.,Distinguish between short-term and long-term autoregulatory responses.,Describe the contribution of myogenic tone to local regulation of blood flow.,Describe the Bayliss effect.,Enlist the vasoactive mediators released from vascular endothelium.,Describe the biosynthesis of nitric oxide and its actions on the vascular smooth muscle.,Describe how the theory of metabolic regulation of blood flow accounts for active hyperemia and reactive hyperemia.,"Identify the role of PO2, PCO2 , pH, adenosine, PGE2, and K+-ions in the control of local blood flow.","Starting at the post capillary venule, describe the process of angiogenesis, including the stimulus that initiates new vessel growth.",Describe the role of angiogenesis in providing a long-term match of tissue blood flow and metabolic need.,"Describe how histamine released from mast cells, bradykinin, prostanoids, and neuropeptides released from polymodal nociceptors contribute to the inflammatory hyperemia.","Describe the triple response of the skin, and the contribution of the axon reflex to it.",,,,,
"47. Factors determining cardiac output, the Guyton diagram.","Understand the principles underlying cardiac output measurements using the Fick principle, dye dilution, and thermodilution methods.",Know how cardiac function (output) curves are generated and how factors which cause changes in contractility in the heart can alter the shape of cardiac function curves.,"Understand the concept of Åemean vascular filling pressureÅf, its normal value, and how various factors can alter its value.",Construct a vascular function curve.,"Predict how changes in total peripheral resistance, blood volume, and venous compliance influence this curve.",Define venous return.,"Understand the concept of Åeresistance to venous returnÅf and know what factors determine its value theoretically, what factors are most important in practice, and how various interventions would change the resistance to venous return.",Explain why the intersection point of the cardiac function and vascular function curves represents the steady-state cardiac output and central venous pressure under the conditions represented in the graph.,"Use the intersection point of the cardiac function curve and vascular function curve to predict how interventions such as hemorrhage, heart failure, autonomic stimulation, and exercise will affect cardiac output and right atrial pressure.",edict how physiological compensatory changes would alter acute changes.,,,,,,,
48. Short-term control mechanisms of arterial blood pressure.,"Define the resting, neurogenic, basal and myogenic tone of resistance vessels.","Describe the sympathethic vasomotor tone: its origin, the neurotransmitter and receptor responsible for the effect.",What is the physiological significance of the sympathethic tone?,Give examples to organ circulations where the sympathethic vasomotor tone is significant and where is negligible.,Characterize the reflex circuit elements of the high pressure baroreceptor reflex.,Describe the significance of the high pressure baroreceptor reflex.,"Explain the function of the baroreceptor reflex during postural changes (lying down, standing up).","Blood pressure regulation during emergency situations: 1. describe the circulatory reflexes evoked by hypoxia and/or hypercapnia, and 2. characterize the CNS ischemic pressor response (Cushing reflex).",,,,,,,,,
49. Long-term control of arterial blood pressure.,Contrast the significance of the renal regulation of extracellular volume and blood volume and the baroreceptor reflex in the regulation of arterial blood pressure.,Describe the concept of pressure diuresis.,"Explain the neurohumoral reflex mediated by cardiopulmonary (volume) receptors that occur after an acute increase or decrease in arterial blood pressure. Include receptor response, afferent nerve activity, CNS integration (hypothalamus), and effects on target organs (kidney).","Describe the effects of angiotensin II, vasopressin, and atrial natriuretic hormone on arterial blood pressure: direct vascular and indirect renal mechanisms.",Give the respective receptors of ATII and ADH and signal transduction mechanisms mediating the effects of these hormones.,,,,,,,,,,,,
50. Pulmonary circulation.,"Compare the pulmonary circulation with the systemic circulation: blood pressure values, vascular resistance, response to hypoxia.",Describe the regional distribution of pulmonary blood flow in a standing human subject.,"Explain the differences among zones I, II, III in terms of pulmonary vascular pressures and intraalveolar pressures.",Describe how the pulmonary vascular resistance changes with the change in cardiac output and pulmonary arterial blood pressure.,Explain the changes with the mechanisms of vascular distension and capillary recruitment.,Describe how pulmonary vascular resistance changes with lung volume.,Explain the phenomenon with the changes occurring in extraalveolar and alveolar blood vessels.,"cribe the pulmonary hypoxic vasoconstriction, and its role in the regulation of blood flow distribution in the lungs (Euler-Liljestrand reflex).",Describe the effect of inhaled NO on hypoxic vasoconstriction and pulmonary vascular resistance.,Characterize the bronchial circulation.,,,,,,,
"51. Skeletal muscle blood flow, the cardiovascular adaptation to work and exercise.",Explain the relative importance of systemic neural and local control mechanisms in the skeletal muscle circulation.,"Describe the cardiovascular consequences of exercise on peripheral resistance, cardiac output, A-V oxygen difference, and arterial pressure. ",Give the contribution of skeletal muscle blood flow to the cardiac output at rest and during exercise.,"Describe the redistribution of cardiac output during exercise to the CNS, coronary, splanchnic, cutaneous, and skeletal muscle vascular beds during sustained exercise (distance running).",Contrast the effect of phasic and sustained skeletal muscle contraction on extravascular compression of blood vessels and on central venous pressure.,Explain the importance of the muscle pump.,Predict the changes in cardiac output and arterial pressure during the initial and the sustained phases of the Valsalva maneuver.,,,,,,,,,,
52. Glomerular filtration: the factors determining the volume and composition of filtrate,"Identify the following structures of the glomerular tuft: the afferent and efferent arterioles, glomerular capillary network, mesangium, BowmanÅEEEEEEEEEEEEfs capsule, and the juxtaglomerular apparatus.",Describe the three layers comprising the glomerular filtration barrier.,"Define glomerular filtration rate (GFR), renal plasma flow (RPF), and filtration fraction (FF) .","Given the capillary and BowmanÅEEEEEEEEEEEEfs capsule hydrostatic and oncotic pressures, calculate the net filtration force at the glomerular capillaries.","Define the filtration coefficient at the glomerular capillary, describe the factors determining it and explain its role in determining GFR.",,,,,,,,,,,,
53. Renal blood flow. The regulation of GFR and RBF.,"Describe in sequence the blood vessels through which blood flows when passing from the renal artery to the renal vein, including the glomerular blood vessels, peritubular capillaries, and the vasa recta.","Define renal blood flow (RBF), give its normal value and its contribution to the cardiac output at rest.","Describe the effect of change in the resistance of the afferent arteriole on GFR and RBF, and RPF.",Describe the role of the tubuloglomerular feedback.,,,,,,,,,,,,,
54. The general features of epithelial transport mechanisms in the renal tubuli.,Describe in sequence the tubular segments through which ultrafiltrate flows after it is formed at BowmanÅEEEEEEEEEEEEfs capsule to when it enters the renal pelvis. ,Describe the contribution of the major nephron segments to the reabsorption of the filtered load of solute and water.,Indicate how water movement is driven by solute movement.,Explain the functional importance of the asymmetric distribution of transport proteins between the apical and the basolateral membrane.,Explain the role of the tight junction in leaky and tight epithelia. Give examples of renal tubular segments with leaky and with tight epithelia.,,,,,,,,,,,,
55. Tubular reabsorption and secretion. Renal clearance.,Define tubular reabsorption and secretion.,"Calculate the filtered load, the excretion rate, and the net tubular reabsorption or the net tubular secretion of a freely filtrated X substance, given its plasma and urine concentrations, the GFR and the urine flow rate (minute diuresis).",Explain the clearance principle.,"Use the clearance equation and appropriate compounds (inulin/creatinine, PAH) to determine the glomerular filtration rate, renal plasma flow, and renal blood flow.","Give the normal values of the clearance for inulin, creatinine, PAH, and glucose.",Distinguish between the use of inulin and creatinine clearances as measures of the glomerular filtration rate.,"How much is the clearance of a freely filtrated X substance if 1. it is fully reabsorbed, 2. only partly reabsorbed, 3. there is a net tubular secretion. ",Describe the effect of GFR reduction on plasma creatinine concentration and plot the function.,,,,,,,,,
"56. Renal tubular transport of organic solutes: glucose, amino acids, ketone bodies, proteins, uric acid, urea, UBG.",Renal tubular glucose reabsorption: characterize the luminal and basolateral transport mechanisms.,Define the renal threshold of glucose and tubular maximum (Tmax) glucose.,Describe the osmotic diuresis induced by glucosuria associated with diabetes mellitus.,Describe the fate of the filtered peptides and proteins in the proximal tubuli.,Describe the transport of uric acid in the proximal tubuli.,Describe the active tubular secretion of organic anions in the proximal tubuli.,"Describe the urea reabsorption in the proximal tubuli, and the urea recirculation in the distal nephron segments.",,,,,,,,,,
"57. Renal tubular transport of NaCl and water, production of the medullary osmotic gradient.","Describe the luminal mechanisms of Na+-reabsorption in the proximal tubulus, in the thick ascending limb of the loop of Henle, in the distal convoluted tubulus and the collecting duct.","Identify the targets of the following diuretics: carbonic anhydrase inhibitors, loop diuretics (furosemid), thiazids, K+-sparing diuretics (aldosterone-antagonists).",Characterize the renal tubular segments based on their water permeability.,Identify the tubular segment where water permeability is under hormonal control.,"Describe the changes of osmolarity in the tubular fluid and in the interstitial fluid from the loop of Henle, and its importance for the dilution and concentration of urine.",Explain the countercurrent multiplier mechanism of the loop of Henle: what is the role of the countercurrent design and the different transport mechanisms in the descending and the ascending limbs in the production of the medullary hyperosmotic gradient?,"Contrast the mechanism of NaCl reabsorption in the thick ascending limb with the thin ascending limb of the long-loop juxtamedullary nephrons, and explain the role of urea.",Calculate the amount of filtered Na+. ,Identify the main driving force of Na+-reabsorption.,Define glomerulotubular balance. ,"Describe the changes of osmolarity in the tubular fluid and in the interstitial fluid from the loop of Henle, and its importance for the dilution and concentration of urine.",Describe the role of the countercurrent organization of renal medullary blood flow through the vasa recta on retaining the medullary osmotic gradient .,,,,,
58. The physiology of the urinary tract. Micturition.,Describe the motor functions of the upper urinary tract.,"Explain the visceral sensory, autonomic (sympathethic and parasympathethic) and somatic motor innervation of the urinary bladder and the urethral sphincters.","Identify the structures critically important for urine continence as well as for micturition located in the lumbar and sacral segments of the spinal cord, and in the pons.","Make a schematic drawing of a cystometrogram. Show on the plot the receptive relaxation of the urinary bladder, and explain its mechanisms.",Describe the reflex arc of the micturition reflex. ,Define the terms passive and active incontinence.,,,,,,,,,,,
59. Principles of the regulation of the gastrointestinal tract.,Describe the general functions of the gastrointestinal system.,Describe the major anatomical characteristics of the enteric nervous system.,"Given a cross section of the bowel wall, identify the anatomical positions and major characteristics of the myenteric and submucosal plexi.",Explain the interactions between the enteral nervous system and the sympathethic/parasympathethic divisions of the autonomic nervous system.,"Describe the reflex types of the GIS (local, short, and long-looped reflexes).","Give the locations and the cell types of the endocrine cells, responsible for the production of the major GIS hormones: gastrin, secretin, CCK, GIP, GLP, and motilin.",,,,,,,,,,,
60. Special functional features of the gastrointestinal smooth muscle.,Understand how the physical and chemical compositions of luminal contents are sensed and the cellular and systemic responses to luminal stimuli.,Describe the characteristics of the spontaneous and stimulated electrical activity of GI smooth muscles.,Describe the anatomical locations and role of interstitial cells of Cajal.,Describe major motor patterns in the GI tract and their functions during fasting and during digestion.,Define the Bayliss-Starling law of the gut.,Describe how extrinsic nerves (sympathetic and parasympathetic) affect motor patterns.,,,,,,,,,,,
61. The splanchnic circulation,Give the percent contribution of splanchnic blood flow from the resting cardiac output.,Contrast the local and neural control of the splanchnic circulation.,"Describe the role of the hepatic portal system in the function of the GIS, and the hepatic artery in providing flow and oxygen to the liver.",Describe the hepatic microcirculation.,,,,,,,,,,,,,
"62. Functions of the upper GI tract: chewing, salivation, swallowing.",Describe the volume and composition of salivary fluid coming from major salivary glands.,Understand how acinar secretions are modified by duct cells to produce the final salivary fluid.,Describe the physiological function of the components of saliva.,State the components of the saliva important in oral hygiene.,Describe the stimuli and neural pathways involved in promoting salivary secretion.,Explain why the composition of saliva will be different in response to sympathethic or parasympathethic stimulation.,Know the normal range of resting luminal esophageal pressures.,"Describe the afferents that initiate swallowing, the motor pathways and general targets for innervation that accomplish the swallowing reflex, and major nuclei of in the brain stem that integrate these afferent inputs.",Understand the differences in the neural and muscular composition and function in the upper versus lower esophagus.,"What is the mechanism of the sphincter tone in the UES and the LES, respectively?",Distinguish between primary and secondary esophagus peristalsis.,"Define the terms: dysphagia, achalasia, aspiration.",,,,,
63. Motor functions of the stomach. Vomiting (emesis).,Describe the functional divisions of the stomach concerning gastric motility patterns.,Describe gastric motility in the interdigestive periods: MMC.,Describe gastric filling: the short-loop and long-loop (local and central) neural reflexes eliciting the receptive relaxation of the proximal stomach.,Describe gastric emptying: describe the frequency and the progression of peristaltic waves across the body and antrum of the stomach.,"Explain the functions of gastric peristalsis (mixing, grinding, propulsion).",Describe how the physical and chemical composition of a meal is sensed by the stomach and duodenum to affect the rate of gastric emptying .,Describe the mechanism of vomiting. ,List some stimuli that can trigger vomiting.,,,,,,,,,
64. The mechanism and regulation of gastric juice secretion.,Describe the functional divisions of the stomach concerning gastric juice secretion.,Describe the products of different cell types in the glands of the oxyntic area.,Describe the cellular mechanism of HCl production.,Explain the role of HCl in the digestion of proteins.,How is the activation of pepsinogen triggered?,"Enlist the neurotransmitter, the paracrine substance, and the hormone directly stimulating the parietal cells: their source, receptors, and signal transduction mechanisms.",Describe how the regulation of gastrin secretion integrates the information from the central and enteral nervous system as well as from the gastric contents.,Describe the role of GRP and somatostatin.,Describe the role of duodenal contents in regulating gastric secretion.,List the mechanisms contributing to gastric mucosal defense.,Describe the normal values of esophagus and gastric pH.,,,,,,
65. The exocrine pancreas: secretion and regulation.,List the major components secreted by the exocrine pancreas and the principal cell types involved in this secretion.,Describe the main digestive enzymes of the pancreas and the mechanism by which pancreatic zymogens are activated in the small intestine.,Describe the process of digestive enzyme synthesis and packaging and how this process maintains the integrity of the pancreas.,Describe the mechanisms by which chyme from the stomach is neutralized in the duodenum.,Describe the mechanisms by which HCO3- is secreted by pancreatic ductal cells.,List the stimuli that release secretin and CCK and explain the route by which these regulatory peptides stimulate the pancreas.,State the effects of the autonomic nerves to the pancreas and vago-vagal reflexes on pancreatic secretion.,,,,,,,,,,
"66. The bile: secretion, storage, mobilization, regulation.","Describe the cellular mechanisms for the hepatic uptake, conjugation, and secretion of bile salts and bilirubin.","List the water, ionic, bile salt, phospholipids, cholesterol, bicarbonate, xenobiotics and bilirubin components of bile as secreted by the liver and after modification by the gallbladder.",Explain the mechanisms stimulating gall bladder contraction and the secretion of bile through the sphincter of Oddi into the small intestine.,"Describe the amphipathic structure of bile salts, and describe how this property assists the solubilization and digestion of fats.","Describe the enterohepatic circulation, including any different handling among primary and secondary bile salts and bile acids.",Explain the mechanism of reabsorption of bile acids/salts in the small intestine (ileum).,How is HCO3- secretion controlled in the hepatobiliary system?,,,,,,,,,,
67. The small intestine: digestion and absorption.,Describe how rates of absorption are affected by the macroscopic and microscopic architecture of the gut epithelium.,Explain the importance of the unstirred water layer on the surface of the brushborder.,Describe the renewal of the GI cells and explain how these cells form a barrier and a selective gate in the secretory and absorption processes.,"Describe the sequential digestion of ingested starch by enzymes of the salivary glands, pancreas, and the intestinal apical membrane. ",Membrane transport mechanisms for carbohydrates in the enterocytes.,"Describe the sequential digestion of ingested proteins by gastric pepsin, pancreatic enzymes, and enzymes at the intestinal apical membrane.","Describe the mechanisms for the uptake, processing and release of lipids by the small intestinal epithelium.","Describe the composition and formation of chylomicrons, their movement across the enterocyte basolateral membrane, and the route of entry into the cardiovascular system.","Describe the location and the mechanisms that mediate the intestinal absorption of water, the major electrolytes, iron and calcium.","Describe common causes of steatorrhea, and predict effects of steatorrhea on absorption of fatsoluble vitamins.",,,,,,,
68. The functions of the colon. Defecation.,Describe the motility patterns in different regions of the colon.,Explain how motility of the colon affects the reabsorption of water and electrolytes.,"Describe the mechanisms, localization and regulation of colonic sodium and chloride absorption.",Describe the mechanisms mediating colonic bicarbonate and potassium transport.,Defecation: Describe the defecation reflex and voluntary control of the reflex.,Describe the role of the colon in forming the normal intestinal microbiota.,,,,,,,,,,,
"69. Nutrition: energy metabolism, the role of macronutrients in energy intake.",Name the types of macronutrient compounds.,Compare the energy content of the macronutrients - biological caloric values.,Explain the strategies for the measurement of the energy production of the body.,Define the respiratory quotient (RQ) and the caloric equivalent for oxygen values.,Caloric equivalent values of different macronutrient compounds.,Respiratory quotient and caloric equivalent values measured after consumption of normal mixed food.,Define the basal metabolic rate (BMR).,Describe the standard conditions for measurement of the BMR.,List the major factors affecting the BMR of individuals .,Explain the effect of food ingestion on the metabolic rate.,Describe the effect of protein-rich diet on the metabolic rate.,Introduce the concept of energy balance of the body.,"Dietary carbohydrates: Describe types of carbohydrates (sources), biological importance, their antiketogenic effect, their contribution to the energy production of the body.","Dietary lipids: Describe the sources of lipids, essential fatty acids, their biological importance, their contribution to energy production of the body.","Dietary proteins: Describe sources and minimal daily allowance of proteins, importance of the essential amino acids, biological value (grade) of the dietary proteins.",Compare the protein content and quality of food of animal and plant origin.,
"70. Nutrition: water, minerals, vitamins, dietary fibers.","Give the normal range of dietary water intake, and the sources of water getting into the GIS.",Describe the concept and give the definition of trace elements.,Explain the biological/biochemical significance of trace elements.,"List and describe the physiological role of some of the major trace elements such as Fe, Zn, Cu, Se, I, F etc.","Describe the vitamin concept, and give the definition of vitamins.",List the major classes of the vitamins. ,"Define the terms provitamin, antivitamin, and provide some examples for such compounds used in the medical praxis.","Describe the concepts of hypo- and hypervitaminosis, and the importance of recommended daily allowance (RDA) values.","Water soluble vitamins: list the RDA values, major biochemical roles and the symptoms of vitamin deficiencies for thiamin (B1), niacin (B3), cyanocobalamin (B12) and ascorbic acid (C).","List the types, sources, biological significance of lipid soluble vitamins. ","Describe the symptoms of vitamin A, D and K deficiencies.","Dietary fibers: Describe the sources, their biological role.",,,,,
71. Principles of endocrine control systems.,Give the definitions of hormone and hormonal control.,Describe the classification of hormones based on their chemical structure. Give 1 -1 examples from each group.,Explain the types of hormonal effects using 1-1 example.,"Define intracrine effect, give an example of such effect.","Explain the effects of secretion, excretion, degradation, and volume of distribution on the concentration of a hormone in the blood plasma.",Understand the effects of plasma hormone binding proteins on access of thyroid hormones and steroid hormones to their sites of action and degradation and on the regulation of hormone secretion.,Explain the bases of hormone measurements and assessment of biological activity.,"Explain the importance of patterns of hormone secretion, such as pulsatile, diurnal, and menstrual. Give examples.",List the factors determining performance in sports!,"Explain the impact of food and fluid intake (amount, composition and timing) in optimizing performance.",List some ergogenic substances.,,,,,,
72. Characterization of the hypothalamo-hypophyseal (neuroendocrine) system.,"Describe the anterior and posterior pituitary lobes with respect to cell types, vascular supply, development, and anatomical connection to the hypothalamus.",Describe the 3 major families of the anterior pituitary hormones and their biosynthetic and structural relationships.,Identify appropriate hypothalamic factors (releasing and inhibiting hormones) that control the secretion of each of the anterior pituitary hormones.,Understand negative feedback control of anterior pituitary hormone secretion at multiple levels.,,,,,,,,,,,,,
"73. Thyroid hormones: biosynthesis, regulation, effects.",Describe the enteral absorption and the uptake of iodide in the thyroid gland.,"Identify the steps in the biosynthesis, storage, and secretion of tri-iodothyronine (T3) and thyroxine (T4).","Describe the function of the hypothalamus-anterior pituitary-thyroid gland axis, the negative feedback regulation of T4/T3 secretion.",Describe the plasma transport proteins involved in blood transport of thyroid hormones.,Explain the importance of thyroid hormone binding in blood on free and total thyroid hormone levels.,"Understand the significance of the conversion of T4 to T3 in extra-thyroidal tissues, give the name of the enzyme responsible for the conversion.","Describe the localization of thyroid hormone-receptors, the molecular mechanism of ligand-receptor interaction.","Describe the physiologic effects and mechanisms of action of thyroid hormones on energy metabolism, carbohydrate, fat and protein metabolism.",Describe the effect of thyroid hormones on the cardiovascular system that enable the metabolic effects.,Understand the causes and consequences of a) over-secretion and b) under-secretion of thyroid hormones.,Explain what conditions can cause an enlargement of the thyroid gland.,,,,,,
"74. Hormone synthesis in the adrenal cortex. The glucocorticoids: biosynthesis, regulation, effects.","Identify the functional zones (one medullary and three cortical zones), innervation, and blood supply of the adrenal glands and the principal hormones secreted from each cortical zone. glucocorticoids, androgens).",Describe the biosynthesis of the adrenal steroid hormones .,Describe the components of the neuroendocrine axis that control glucocorticoid secretion. ,Understand the differential regulation of cortisol versus aldosterone release.,Describe the trophic effect of ACTH on the adrenal cortex and its significance concerning drug therapies involving glucocorticoid treatments.,Understand the cellular mechanism of action of adrenal cortical hormones.,Describe the mechanism of the so-called pre-receptor specificity responsible for the selective effect of mineralcorticoids.,"Identify the major physiological and pharmacological actions of glucocorticoids on energy metabolism, on the carbohydrate, fat and protein metabolism.",Identify the consequences of a) over-secretion and b) under-secretion of glucocorticoids.,,,,,,,,
75. The endocrine pancreas.,"Identify the major hormones secreted from the endocrine pancreas, their cells of origin, and their chemical nature.",Describe the functional organization of the Langerhans islet.,"List the major target organs or cell types for insulin, the major effects of insulin on each.",Identify the time course for the onset and duration for the biological actions of insulin.,Describe the methods assessing insulin secretion and insulin sensitivity.,Understand the relationship between blood glucose concentrations and insulin secretion.,"Define the term incretin, and describe the glucose-dependent release of an incretin and its effects.",Describe the roles of neural input and gastrointestinal hormones on insulin secretion.,Describe the control of glucagon secretion.,List the target organs or cell types for glucagon and describe its principal actions on each.,Describe the consequences of over-secretion or under-secretion of insulin.,,,,,,
76. The integrated endocrine control of metabolism. Stress and general adaptation syndrome.,"Identify the normal range of plasma glucose concentrations, and list the chemical forms and anatomical sites of storage pools for glucose and other metabolic substrates.","Identify the hormones that promote the influx and efflux of glucose, fat, and protein into and out of energy storage pools and their impact on the uptake of glucose by tissues.","Establish specific roles for insulin, glucagon, growth hormone, leptin, ghrelin, and catecholamines.",Describe the changes in metabolic fuel utilization that occur in long- and short-term fasting and in acute and sustained exercise.,Understand how increases or decreases in hormone secretion produce these changes.,Describe the role of appetite and metabolic rate in the maintenance of long-term energy balance and fat storage.,Identify the factors that regulate appetite and fuel oxidation.,Give the definitions of stress and stressor.,Describe the 3 phases of the general adaptation syndrome (GAS) during the stress response.,Describe the interactions of adrenal medullary and cortical hormones in response to stress.,,,,,,,
77. Nutrition: The internal control of food intake.,"Describe the evaluation of the body composition, evaluation of the grade of obesity.",Define hunger and satiety.,Name the hypothalamic centers involved in the regulation of food intake: localization and neurochemical phenotype of orexigenic and anorexigenic neuron groups.,Name orexigenic and anorexigenic mediator substances.,Describe the role of central and peripheral glucose sensors.,Describe the peripheral signals affecting the central regulation: mediators released from the GI tract.,Describe the role of the chemosensitive vagal afferents.,Characterize the biological effects of signal molecules produced by the adipocytes: leptin and related adipokines.,What are the physiological correlates of carbohydrate and fat appetite?,Describe how does energy intake and the metabolic rate affect the energy balance of the body and the deposition of fat into the adipose tissue.,Name the major factors influencing the food uptake and catabolic processes.,Describe the central regulation of water (thirst) and salt intake.,,,,,
78. The concentration and dilution of urine. Osmoregulation.,Identify major routes and normal ranges for water intake and loss.,Describe the changes in body fluid volume and osmolality caused by a net water loss in the body.,"Localize the cells producing arginine-vasopressin (AVP), and describe the mechanism of neurosecretion from the posterior pituitary gland.",Describe the stimuli and mechanisms that control AVP secretion.,List the target cells for vasopressin and explain why AVP is also known as antidiuretic hormone (ADH).,"Identify the tubular segment, where AVP increases water and urea permeability, and describe the cellular mechanism of its action.",Predict the consequence on urine concentrating ability if the medullary osmotic gradient is disrupted.,"Given urine and plasma osmolarities and urine volume, calculate osmolar and free water clearance.",Distinguish between central and nephrogenic diabetes insipidus and explain the difference between the polyuria elicited by diabetes insipidus and by osmotic diuresis.,,,,,,,,
79. Volume regulation (the regulation of Na+ metabolism and extracellular fluid volume).,Identify the normal range of dietary Na+ intake and major routes of Na+ loss from the body. ,"Identify the alterations in Na+ reabsorption in conditions of volume depletion (hypovolemia), and volume expansion (hypervolemia).",Describe the mechanisms involved in the monitoring of ECF volume.,Explain the regulation of renin secretion.,Diagram the activation of the renin-angiotensin system (RAS).,Describe the effects of angiotensin II.,"Identify the major mineralocorticoid hormone, describe its production, its target cells and its major biological actions.",List the physiological stimuli regulating aldosterone secretion.,Describe the causes and the consequence of reduced or elevated secretion of aldosterone.,"Describe the regulation of ANP secretion, and the renal as well as the extrarenal effects of ANP.","Give details on the role of angiotensin II, aldosterone, ANP and sympathetic activity.",,,,,,
80. The regulation of K+ metabolism.,Identify the normal range of dietary K+ intake and major routes of K+ loss from the body.,"Define the role of extracellular K+ in maintaining normal nerve, heart muscle and skeletal muscle function.","Describe K+ distribution within the body, extrarenal K+ homeostasis, and the role insulin, epinephrine, and aldosterone play in the movement of K+ between intracellular and extracellular pools. Describe the K+ shift caused by acidosis.",Identify the tubular sites of K+ reabsorption and secretion.,Describe the factors that regulate K+ secretion in the collecting duct and distinguish these from factors that alter secretion at this site.,,,,,,,,,,,,
81. The regulation of Ca2+ and phosphate metabolism.,"Identify the normal range of dietary Ca2+ and phosphate intake, major storage pools of Ca2+ and phosphate, and major routes of Ca2+ and phosphate loss from the body.",Identify the tubular sites of Ca2+ reabsorption. ,Identify the tubular sites of phosphate reabsorption.,Know the cells of origin for parathyroid hormone (PTH).,Describe the regulation of PTH secretion and the role of the Ca2+-sensing receptor.,List the target organs and cell types for PTH and describe its effects on each.,"Understand the causes and consequences of a) over-secretion, and b) under-secretion of PTH, as well as its therapeutic use. ","Identify the sources of vitamin D and diagram the biosynthetic pathway and the organs involved in modifying it to the biologically active 1,25(OH2)D3.",Identify the target organs and cellular mechanisms of action for calcitriol.,Describe the negative feedback relationship between PTH and calcitriol.,Describe the consequences of vitamin D deficiency.,"Name the stimuli that can promote secretion of calcitonin, its actions, and identify which (if any) are physiologically important.",,,,,
82. Acid-Base Balance,Identify the normal range of pH values.,"Describe the role of buffers in maintaining pH, including the roles of the lungs and kidneys.","Describe the respiratory and renal regulation of the CO2/HCO3- buffer system, which allows a buffer with a pK of 6.1 to be physiologically important in the maintenance of the normal plasma pH of 7.4. ","Distinguish between CO2-derived (volatile acid) and nonvolatile acid, the amounts produced each day through dietary intake / cellular metabolism, and the normal routes of loss from the body.","Identify the major sites of HCO3- reabsorption (and secretion) along the nephron, emphasizing the importance of H+ secretory mechanisms in this process.",Describe the cellular mechanisms responsible for net transepithelial movement of HCO3-.,Describe the adjustments in HCO3- reabsorption (H+ secretion) by alterations in systemic acid-base balance.,"Describe net acid excretion by the kidneys, titratable acid, the importance of urinary buffers, and the production and excretion of ammonium. ",,Distinguish between the reclamation of filtered bicarbonate and the formation of new bicarbonate.,"Given a sudden increase or decrease in pH, identify the magnitude and the time course of the compensations that act to minimize change in pH of the body fluids, including a) buffers, b) respiratory adjustments, and c) renal adjustments.","From blood values, identify simple and mixed metabolic and respiratory acid-base disturbances.",Distinguish between increased and normal anion gap metabolic acidosis.,Describe the renal and respiratory compensations of acid-base disturbances.,,,
